,Age,Yearly brutto salary (without bonus and stocks) in EUR,Annual brutto salary (without bonus and stocks) one year ago. Only answer if staying in the same country,"Have you been forced to have a shorter working week (Kurzarbeit)? If yes, how many hours per week"
553,27.0,82000.0,78000.0,12.967828418230564
554,31.0,50000.0,48000.0,12.967828418230564
555,29.0,78000.0,75000.0,12.967828418230564
556,39.0,60000.0,,32.0
557,35.0,75000.0,70000.0,12.967828418230564
558,38.0,130000.0,,12.967828418230564
559,31.0,115000.0,81000.0,0.0
560,32.0,65000.0,62000.0,12.967828418230564
561,35.0,75000.0,75000.0,12.967828418230564
562,28.0,36000.0,28000.0,0.0
563,30.0,76000.0,63000.0,12.967828418230564
564,30.0,90000.0,75000.0,12.967828418230564
565,26.0,54000.0,31000.0,12.967828418230564
566,25.0,65000.0,58000.0,0.0
567,30.0,30000.0,,12.967828418230564
568,27.0,66000.0,61200.0,12.967828418230564
569,28.0,60000.0,,0.0
570,22.0,63000.0,,12.967828418230564
571,37.0,62000.0,58000.0,0.0
572,25.0,51000.0,,12.967828418230564
573,33.0,154000.0,110000.0,35.0
574,38.0,200000.0,80000.0,12.967828418230564
575,31.0,78000.0,76000.0,12.967828418230564
576,24.0,300000.0,,10.0
577,28.0,78000.0,,12.967828418230564
578,25.0,57000.0,,0.0
579,26.0,45000.0,45000.0,12.967828418230564
580,29.0,43000.0,43000.0,12.967828418230564
581,22.0,39000.0,39000.0,0.0
582,30.0,73000.0,70000.0,32.0
583,30.0,74000.0,72000.0,12.967828418230564
584,28.0,86000.0,75000.0,12.967828418230564
585,29.0,74000.0,,12.967828418230564
586,32.0,55000.0,,12.967828418230564
587,36.0,40000.0,37000.0,12.967828418230564
588,32.0,85000.0,85000.0,12.967828418230564
589,30.0,56000.0,55000.0,12.967828418230564
590,29.0,70000.0,70000.0,12.967828418230564
591,32.0,68000.0,62000.0,12.967828418230564
592,34.0,70000.0,65000.0,40.0
593,30.0,72000.0,65000.0,12.967828418230564
594,40.0,80000.0,65000.0,12.967828418230564
595,35.0,77000.0,77000.0,12.967828418230564
596,31.0,77000.0,72000.0,12.967828418230564
597,38.0,56000.0,56000.0,0.0
598,39.0,80000.0,80000.0,12.967828418230564
599,35.0,90000.0,82000.0,12.967828418230564
600,30.0,54000.0,,12.967828418230564
601,29.0,20000.0,,12.967828418230564
602,36.0,98000.0,98000.0,32.0
603,41.0,93000.0,88000.0,40.0
604,41.0,100000.0,80000.0,12.967828418230564
605,28.0,70000.0,,12.967828418230564
606,33.0,75000.0,70000.0,36.0
607,31.0,63000.0,50400.0,12.967828418230564
608,29.0,70000.0,,12.967828418230564
